RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Cameron Payne, PG",CHI,25,23.3,36,1.4,3.0,3.14,0.72
,"Andrew Harrison, SG",MEM,56,23.7,81,1.4,2.9,2.19,0.47
298,"Isaiah Canaan, PG",HOU/PHX,20,21.1,29,1.5,3.3,2.62,0.55
,"Jabari Parker, PF",MIL,31,24.0,45,1.5,2.9,1.31,0.56
,"Myles Turner, C",IND,65,28.2,96,1.5,2.5,0.91,0.40
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Andre Ingram, SG",LAL,2,32.0,3,1.5,2.3,2.33,1.00
,"Mike Conley, PG",MEM,12,31.1,18,1.5,2.3,2.72,0.67
,"Isaiah Whitehead, G",BKN,16,11.3,24,1.5,6.4,0.83,0.33
,"Kevin Love, C",CLE,59,28.0,90,1.5,2.6,1.14,0.48
,"Tyrone Wallace, SG",LAC,30,28.4,46,1.5,2.6,1.54,0.59
,"Wayne Selden, SG",MEM,35,19.7,54,1.5,3.8,1.22,0.33
307,"Tim Hardaway Jr., SF",NY,57,33.1,92,1.6,2.3,1.68,0.67
,"Manu Ginobili, SG",SA,65,20.0,105,1.6,3.9,1.55,0.41
309,"Evan Fournier, SG",ORL,57,32.2,95,1.7,2.5,1.74,0.49
,"Robin Lopez, C",CHI,64,26.4,107,1.7,3.0,1.16,0.13
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Hassan Whiteside, C",MIA,54,25.3,92,1.7,3.2,0.59,0.40
312,"Emmanuel Mudiay, PG",DEN/NY,64,19.4,113,1.8,4.4,1.82,0.36
,"Mario Chalmers, PG",MEM,66,21.5,117,1.8,4.0,1.68,0.68
,"Gary Harris, SG",DEN,67,34.4,119,1.8,2.5,1.63,1.03
,"Kawhi Leonard, SF",SA,9,23.3,16,1.8,3.7,1.31,1.13
,"Rondae Hollis-Jefferson, SF",BKN,68,28.3,121,1.8,3.0,1.38,0.54
,"Austin Rivers, PG",LAC,61,33.7,109,1.8,2.5,2.22,0.68
,"Zach LaVine, PG",CHI,24,27.3,43,1.8,3.1,1.67,0.56
,"DeAndre' Bembry, SF",ATL,26,17.5,47,1.8,5.0,1.04,0.45
,"Jimmy Butler, SG",MIN,59,36.7,108,1.8,2.4,2.67,1.07
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
321,"Greg Monroe, C",BOS/MIL/PHX,51,20.4,94,1.8,4.3,1.21,0.47
,"Aaron Gordon, PF",ORL,58,32.9,107,1.8,2.7,1.27,0.55
323,"Jarrett Jack, PG",NY,62,25.0,115,1.9,3.6,3.03,0.30
,"Eric Gordon, SG",HOU,69,31.2,130,1.9,2.9,1.18,0.34
,"Rudy Gobert, C",UTAH,56,32.4,107,1.9,2.8,0.75,0.41
,"Nikola Vucevic, C",ORL,57,29.5,109,1.9,3.1,1.75,0.51
,"Paul Millsap, PF",DEN,38,30.1,73,1.9,3.1,1.44,0.53
,"Kristaps Porzingis, PF",NY,48,32.4,93,1.9,2.9,0.61,0.39
329,"Zach Randolph, PF",SAC,59,25.6,116,2.0,3.7,1.09,0.36
,"Nicolas Batum, SG",CHA,64,31.0,131,2.0,3.2,2.66,0.50
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
331,"J.J. Barea, PG",DAL,69,23.2,143,2.1,4.3,3.03,0.24
,"Dwyane Wade, SG",CLE/MIA,67,22.9,140,2.1,4.4,1.63,0.44
,"Jonathon Simmons, SF",ORL,69,29.4,146,2.1,3.5,1.17,0.40
,"Jamal Murray, PG",DEN,81,31.7,172,2.1,3.2,1.59,0.46
335,"Milos Teodosic, PG",LAC,45,25.2,97,2.2,4.1,2.15,0.24
,"Anthony Davis, PF",NO,75,36.4,162,2.2,2.9,1.07,0.71
,"DeMar DeRozan, SG",TOR,80,33.9,175,2.2,3.1,2.38,0.49
,"Avery Bradley, SG",DET/LAC,46,31.2,101,2.2,3.4,0.93,0.50
,"Xavier Rathan-Mayes, SG",MEM,5,23.6,11,2.2,4.5,1.64,0.55
,"Reggie Jackson, PG",DET,45,26.7,99,2.2,4.0,2.40,0.27
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Chris Paul, PG",HOU,58,31.8,128,2.2,3.3,3.57,0.75
,"Goran Dragic, PG",MIA,75,31.7,166,2.2,3.4,2.16,0.38
,"Kemba Walker, PG",CHA,80,34.2,179,2.2,3.1,2.48,0.51
344,"Tyreke Evans, SG",MEM,52,30.9,117,2.3,3.5,2.30,0.49
,"Patrick Beverley, PG",LAC,11,30.4,25,2.3,3.6,1.28,0.76
,"MarShon Brooks, SG",MEM,7,27.6,16,2.3,4.0,1.56,0.69
,"Jusuf Nurkic, C",POR,79,26.4,183,2.3,4.2,0.78,0.35
,"Rajon Rondo, PG",NO,65,26.2,151,2.3,4.3,3.53,0.46
,"Khris Middleton, SF",MIL,82,36.4,191,2.3,3.1,1.72,0.62
,"Taurean Prince, SF",ATL,82,30.0,191,2.3,3.7,1.12,0.45
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Dion Waiters, SG",MIA,30,30.6,70,2.3,3.7,1.61,0.33
,"Kyrie Irving, PG",BOS,60,32.2,140,2.3,3.5,2.19,0.46
,"Kyle Lowry, PG",TOR,78,32.2,183,2.3,3.5,2.93,0.46
354,"De'Aaron Fox, PG",SAC,73,27.8,173,2.4,4.1,1.85,0.40
,"Marcus Smart, PG",BOS,54,29.9,129,2.4,3.8,2.01,0.55
,"Kent Bazemore, SG",ATL,65,27.5,157,2.4,4.2,1.45,0.64
357,"Brandon Ingram, SF",LAL,59,33.5,149,2.5,3.6,1.54,0.30
,"Jeff Teague, PG",MIN,70,33.0,177,2.5,3.7,2.78,0.58
359,"Andre Drummond, C",DET,78,33.7,200,2.6,3.7,1.19,0.57
,"Dwight Howard, C",CHA,81,30.4,208,2.6,4.1,0.50,0.23
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
361,"Julius Randle, PF",LAL,82,26.7,213,2.6,4.7,0.99,0.20
,"Bradley Beal, SG",WSH,82,36.3,214,2.6,3.5,1.74,0.45
,"Lonzo Ball, PG",LAL,52,34.2,136,2.6,3.7,2.76,0.65
,"Jrue Holiday, PG",NO,81,36.1,213,2.6,3.5,2.28,0.58
365,"Marc Gasol, C",MEM,73,33.0,194,2.7,3.9,1.57,0.28
,"Elfrid Payton, PG",ORL/PHX,63,28.7,168,2.7,4.5,2.34,0.49
,"Paul George, SF",OKC,79,36.6,212,2.7,3.5,1.24,0.76
,"Ricky Rubio, PG",UTAH,77,29.3,207,2.7,4.4,1.98,0.58
,"Donovan Mitchell, SG",UTAH,79,33.4,215,2.7,3.9,1.35,0.55
,"Dennis Schroder, PG",ATL,67,31.0,183,2.7,4.2,2.28,0.39
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
371,"Nikola Jokic, C",DEN,75,32.5,210,2.8,4.1,2.18,0.43
,"Dennis Smith Jr., PG",DAL,69,29.7,194,2.8,4.5,1.85,0.37
,"Damian Lillard, PG",POR,73,36.6,206,2.8,3.7,2.33,0.37
,"Blake Griffin, PF",DET/LAC,58,34.0,165,2.8,4.0,2.02,0.24
375,"Kris Dunn, PG",CHI,52,29.3,150,2.9,4.7,2.07,0.69
,"Draymond Green, PF",GS,70,32.7,202,2.9,4.2,2.51,0.47
,"Eric Bledsoe, PG",MIL/PHX,74,31.4,216,2.9,4.5,1.71,0.69
,"Victor Oladipo, SG",IND,75,34.0,219,2.9,4.1,1.47,0.81
379,"Lou Williams, SG",LAC,79,32.8,234,3.0,4.3,1.78,0.36
,"Isaiah Thomas, PG",CLE/LAL,32,26.9,95,3.0,5.3,1.61,0.16
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Giannis Antetokounmpo, PF",MIL,75,36.7,223,3.0,3.9,1.62,0.49
,"Jeremy Lin, PG",BKN,1,25.0,3,3.0,5.8,1.33,0.00
,"Chinanu Onuaku, C",HOU,1,22.0,3,3.0,6.5,0.33,0.00
,"Stephen Curry, PG",GS,51,32.0,153,3.0,4.5,2.03,0.52
,"Kevin Durant, SF",GS,68,34.2,207,3.0,4.3,1.77,0.24
386,"D'Angelo Russell, PG",BKN,48,25.7,147,3.1,5.7,1.69,0.24
387,"Ben Simmons, PG",PHI,81,33.7,278,3.4,4.9,2.38,0.50
388,"Devin Booker, SG",PHX,54,34.5,194,3.6,5.0,1.30,0.24
389,"Joel Embiid, C",PHI,63,30.3,234,3.7,5.9,0.85,0.17
390,"John Wall, PG",WSH,41,34.4,158,3.9,5.4,2.49,0.36
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
391,"LeBron James, SF",CLE,82,36.9,347,4.2,5.5,2.15,0.33
392,"James Harden, PG",HOU,72,35.4,315,4.4,5.9,2.00,0.40
393,"Russell Westbrook, PG",OKC,80,36.4,381,4.8,6.3,2.15,0.39
394,"DeMarcus Cousins, C",NO,48,36.2,242,5.0,6.7,1.06,0.33
