RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Lucas Nogueira, C",TOR,49,8.5,16,0.3,1.8,1.38,1.44
,"Jacob Pullen, PG",PHI,3,2.0,1,0.3,8.0,0.00,0.00
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"David Stockton, PG",UTAH,3,3.0,1,0.3,5.3,0.00,0.00
,"James Michael McAdoo, SF",PHI,3,6.0,1,0.3,2.7,0.00,0.00
,"Jameel Warney, PF",DAL,3,9.0,1,0.3,1.8,0.00,0.00
,"Matt Williams Jr., SG",MIA,3,3.7,1,0.3,4.4,0.00,0.00
,"Monte Morris, PG",DEN,3,8.3,1,0.3,1.9,7.00,3.00
,"Xavier Munford, PG",MIL,6,3.5,2,0.3,4.6,2.00,0.50
,"Joel Bolomboy, PF",MIL,6,6.3,2,0.3,2.5,0.00,1.00
,"Daniel Hamilton, SG",OKC,6,4.7,2,0.3,3.4,4.00,0.50
,"Georges Niang, SF",UTAH,9,3.6,3,0.3,4.5,1.00,0.67
,"Aaron Harrison, G",DAL,9,25.9,3,0.3,0.6,3.67,3.00
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
81,"Bruno Caboclo, SF",SAC/TOR,12,8.9,4,0.3,1.8,1.00,0.75
,"Malcolm Miller, SF",TOR,15,8.4,5,0.3,1.9,0.60,0.20
,"John Holland, G",CLE,24,7.3,8,0.3,2.2,0.63,0.88
,"Tyler Cavanaugh, F",ATL,39,13.3,13,0.3,1.2,2.08,0.69
,"Aaron Brooks, PG",MIN,32,5.9,11,0.3,2.8,1.82,0.55
,"Ante Zizic, PF",CLE,32,6.7,11,0.3,2.5,0.45,0.18
,"DeAndre Liggins, SG",NO/MIL,58,12.5,20,0.3,1.3,2.40,1.85
88,"Derrick Jones Jr., SF",MIA/PHX,20,12.3,7,0.4,1.4,1.29,0.57
,"Travis Wear, SF",LAL,17,13.4,6,0.4,1.3,1.17,0.67
,"Derrick White, PG",SA,17,8.2,6,0.4,2.1,1.50,0.67
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Juan Hernangomez, PF",DEN,25,11.1,9,0.4,1.6,1.33,0.67
,"JaKarr Sampson, SF",SAC,22,15.6,8,0.4,1.1,1.13,1.00
,"Guerschon Yabusele, PF",BOS,33,7.1,12,0.4,2.5,1.33,0.33
,"Marshall Plumlee, C",MIL,8,6.5,3,0.4,2.8,0.67,0.00
,"Josh Huestis, SG",OKC,69,14.2,26,0.4,1.3,0.77,0.58
,"Luke Babbitt, SF",ATL/MIA,50,14.3,19,0.4,1.3,1.63,0.42
,"Malachi Richardson, SG",SAC/TOR,26,12.5,10,0.4,1.5,1.30,1.00
,"Damyean Dotson, SG",NY,44,10.8,17,0.4,1.7,1.82,0.71
,"Malik Beasley, SG",DEN,62,9.5,24,0.4,2.0,1.29,0.63
,"Channing Frye, PF",CLE/LAL,53,13.1,21,0.4,1.5,1.81,0.86
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Arron Afflalo, SG",ORL,53,12.9,21,0.4,1.5,1.43,0.19
,"Adreian Payne, PF",ORL,5,8.6,2,0.4,2.2,0.00,1.00
,"R.J. Hunter, SG",HOU,5,9.0,2,0.4,2.1,1.50,1.50
,"James Webb III, SF",BKN,10,12.0,4,0.4,1.6,1.00,0.25
,"Antonius Cleveland, SG",ATL/DAL,17,7.2,7,0.4,2.7,0.29,1.00
,"JaVale McGee, C",GS,65,9.5,27,0.4,2.1,1.22,0.78
,"Johnny O'Bryant III, PF",CHA,36,10.5,15,0.4,1.9,0.93,0.60
,"Justin Anderson, SG",PHI,38,13.7,16,0.4,1.5,1.56,0.94
,"Jack Cooley, C",SAC,7,12.4,3,0.4,1.7,2.00,0.33
,"Treveon Graham, SG",CHA,63,16.7,27,0.4,1.2,2.19,1.22
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Dwayne Bacon, SF",CHA,53,13.5,23,0.4,1.5,1.65,0.70
,"Jalen Jones, F",NO/DAL,16,11.3,7,0.4,1.9,0.57,0.71
113,"Bobby Brown, PG",HOU,20,5.8,9,0.5,3.8,1.22,0.44
,"Willie Reed, C",DET/LAC,42,10.2,19,0.5,2.1,0.53,0.47
,"Brandon Paul, G",SA,64,9.0,29,0.5,2.4,1.28,0.86
,"Sterling Brown, SG",MIL,54,14.4,25,0.5,1.5,1.00,1.24
,"Nick Collison, F",OKC,15,5.0,7,0.5,4.5,0.57,0.00
,"Kevon Looney, SF",GS,66,13.8,31,0.5,1.6,1.35,1.10
,"Georgios Papagiannis, C",POR/SAC,17,7.2,8,0.5,3.1,1.13,0.50
,"Henry Ellenson, PF",DET,38,8.7,18,0.5,2.6,1.11,0.28
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
121,"Davon Reed, SG",PHX,21,11.5,10,0.5,2.0,1.30,1.00
,"Quincy Pondexter, SG",CHI,23,8.5,11,0.5,2.7,0.82,0.73
,"Danuel House Jr., SF",PHX,23,17.5,11,0.5,1.3,2.27,0.64
,"Wesley Iwundu, SF",ORL,62,16.5,30,0.5,1.4,1.90,1.10
,"Jason Smith, PF",WSH,33,8.6,16,0.5,2.7,0.88,0.19
,"Jason Terry, SG",MIL,51,16.0,25,0.5,1.5,2.36,1.68
,"Joe Young, PG",IND,53,10.5,26,0.5,2.2,1.50,0.54
,"PJ Dozier, PG",OKC,2,1.5,1,0.5,16.0,0.00,0.00
,"Markel Brown, SG",HOU,4,7.8,2,0.5,3.1,1.00,0.00
,"Omer Asik, C",NO/CHI,18,10.1,9,0.5,2.4,0.33,0.22
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Kadeem Allen, SG",BOS,18,5.9,9,0.5,4.0,1.33,0.33
,"Josh Magette, G",ATL,18,12.0,9,0.5,2.0,6.33,0.89
,"Emeka Okafor, C",NO,26,13.6,13,0.5,1.8,0.62,0.62
,"Khem Birch, C",ORL,42,13.8,21,0.5,1.7,1.62,0.71
,"Torrey Craig, SG",DEN,39,16.1,20,0.5,1.5,1.25,0.60
,"Deyonta Davis, C",MEM,62,15.2,32,0.5,1.6,1.25,0.47
,"Richaun Holmes, PF",PHI,48,15.5,25,0.5,1.6,2.44,0.80
,"Cedi Osman, SF",CLE,61,11.0,32,0.5,2.3,1.28,0.69
,"C.J. Williams, SG",LAC,38,18.6,20,0.5,1.4,2.15,1.55
,"Jamil Wilson, SF",LAC,15,18.3,8,0.5,1.4,1.25,0.63
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Andrew White III, SF",ATL,15,13.9,8,0.5,1.8,0.75,0.38
,"Jamel Artis, SG",ORL,15,18.6,8,0.5,1.4,2.25,0.25
,"Cheick Diallo, PF",NO,52,11.2,28,0.5,2.3,0.68,0.39
,"Ryan Arcidiacono, PG",CHI,24,12.7,13,0.5,2.1,2.69,1.00
145,"Zhou Qi, PF",HOU,18,6.9,10,0.6,3.9,0.20,0.20
,"Joakim Noah, C",NY,7,5.7,4,0.6,4.8,1.00,0.50
,"Wade Baldwin IV, PG",POR,7,11.4,4,0.6,2.4,1.25,0.50
,"Noah Vonleh, PF",CHI/POR,54,16.2,31,0.6,1.7,1.10,0.61
,"Antonio Blakeney, SG",CHI,19,16.5,11,0.6,1.7,1.82,0.64
,"Al Jefferson, C",IND,36,13.4,21,0.6,2.1,1.43,0.76
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Jared Dudley, SF",PHX,48,14.3,28,0.6,2.0,2.79,0.86
,"Justin Jackson, SF",SAC,68,22.1,40,0.6,1.3,1.85,0.70
,"Vander Blue, SG",LAL,5,9.0,3,0.6,3.2,1.00,0.33
,"Luke Kornet, PF",NY,20,16.4,12,0.6,1.8,2.17,0.50
,"Joffrey Lauvergne, C",SA,55,9.7,33,0.6,3.0,1.24,0.27
,"Ivica Zubac, C",LAL,43,9.5,26,0.6,3.0,0.96,0.31
,"Shane Larkin, PG",BOS,54,14.4,33,0.6,2.0,2.97,0.88
,"Eric Moreland, C",DET,67,12.0,41,0.6,2.4,1.90,0.76
