RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
,"Courtney Lee, SG",NY,76,30.4,17,109,0.22,0.35,0.16
,"Cory Joseph, PG",IND,82,27.0,18,141,0.22,0.39,0.13
,"Darren Collison, PG",IND,69,29.2,15,122,0.22,0.36,0.12
,"Kentavious Caldwell-Pope, SG",LAL,74,33.2,16,145,0.22,0.31,0.11
196,"Mario Chalmers, PG",MEM,66,21.5,14,179,0.21,0.47,0.08
,"Reggie Bullock, SG",DET,62,27.9,13,70,0.21,0.36,0.19
,"Lance Stephenson, SG",IND,82,22.6,17,177,0.21,0.44,0.10
,"Darius Miller, SF",NO,82,23.7,17,160,0.21,0.42,0.11
,"Dillon Brooks, SF",MEM,82,28.7,17,233,0.21,0.35,0.07
RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
201,"Tomas Satoransky, SG",WSH,73,22.5,15,131,0.21,0.44,0.11
,"Bogdan Bogdanovic, SG",SAC,78,27.9,16,172,0.21,0.35,0.09
203,"Stanley Johnson, SF",DET,69,27.4,14,169,0.20,0.35,0.08
,"Rodney Hood, SG",CLE/UTAH,60,26.9,12,105,0.20,0.36,0.11
,"Doug McDermott, SF",DAL/NY,81,21.8,16,122,0.20,0.43,0.13
,"Raymond Felton, PG",OKC,82,16.6,16,91,0.20,0.56,0.18
207,"Corey Brewer, SG",LAL/OKC,72,16.8,14,139,0.19,0.56,0.10
,"Trevor Ariza, SF",HOU,67,33.9,13,132,0.19,0.28,0.10
,"Wesley Iwundu, SF",ORL,62,16.5,12,81,0.19,0.56,0.15
,"Lance Thomas, SF",NY,73,18.5,14,134,0.19,0.50,0.10
RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
,"Justin Jackson, SF",SAC,68,22.1,13,81,0.19,0.41,0.16
,"Shabazz Napier, PG",POR,74,20.7,14,84,0.19,0.44,0.17
,"OG Anunoby, SF",TOR,74,20.0,14,130,0.19,0.45,0.11
214,"Harrison Barnes, SF",DAL,77,34.2,14,94,0.18,0.26,0.15
,"Luke Kennard, SG",DET,73,20.0,13,86,0.18,0.43,0.15
216,"Emmanuel Mudiay, PG",DEN/NY,64,19.4,11,80,0.17,0.42,0.14
,"T.J. McConnell, PG",PHI,76,22.4,13,122,0.17,0.37,0.11
,"Zach Randolph, PF",SAC,59,25.6,10,119,0.17,0.32,0.08
,"Devin Harris, PG",DAL/DEN,71,18.9,12,158,0.17,0.43,0.08
220,"Terrance Ferguson, SG",OKC,61,12.5,10,83,0.16,0.63,0.12
RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
,"Jonas Jerebko, PF",UTAH,74,15.3,12,127,0.16,0.51,0.09
,"Goran Dragic, PG",MIA,75,31.7,12,180,0.16,0.24,0.07
223,"Rajon Rondo, PG",NO,65,26.2,10,119,0.15,0.28,0.08
,"Marco Belinelli, SG",ATL/PHI,80,24.3,12,91,0.15,0.30,0.13
,"Isaiah Taylor, G",ATL,67,17.4,10,116,0.15,0.41,0.09
,"E'Twaun Moore, SF",NO,82,31.5,12,182,0.15,0.22,0.07
227,"Ricky Rubio, PG",UTAH,77,29.3,11,206,0.14,0.23,0.05
,"Denzel Valentine, SF",CHI,77,27.2,11,185,0.14,0.25,0.06
,"Malik Monk, SG",CHA,63,13.5,9,60,0.14,0.51,0.15
,"JR Smith, SG",CLE,80,28.1,11,161,0.14,0.24,0.07
RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
,"Ian Clark, SG",NO,74,19.6,10,120,0.14,0.33,0.08
