RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Justin Jackson, SF",SAC,68,22.1,81,1.2,2.6,0,0,0
,"Josh Huestis, SG",OKC,69,14.2,82,1.2,4.0,0,0,0
,"Patrick McCaw, SG",GS,57,16.9,67,1.2,3.3,0,0,0
,"Delon Wright, PG",TOR,69,20.8,81,1.2,2.7,0,1,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Alec Burks, SG",UTAH,64,16.5,75,1.2,3.4,0,0,0
,"Rodney McGruder, SG",MIA,18,16.6,21,1.2,3.4,0,0,0
,"Darrell Arthur, PF",DEN,19,7.4,22,1.2,7.5,1,0,0
,"Emeka Okafor, C",NO,26,13.6,30,1.2,4.1,0,0,0
315,"Brandan Wright, F",HOU/MEM,28,13.6,32,1.1,4.0,0,0,0
,"Gian Clavell, SG",DAL,7,9.1,8,1.1,6.0,0,0,0
,"Ron Baker, SG",NY,29,13.3,33,1.1,4.1,0,0,0
,"Reggie Bullock, SG",DET,62,27.9,70,1.1,1.9,0,0,0
,"Nicolas Batum, SG",CHA,64,31.0,72,1.1,1.7,0,0,0
,"Tyler Dorsey, SG",ATL,56,17.4,63,1.1,3.1,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
321,"Omer Asik, C",NO/CHI,18,10.1,20,1.1,5.3,0,0,0
,"Ivica Zubac, C",LAL,43,9.5,47,1.1,5.5,0,0,0
,"Meyers Leonard, C",POR,33,7.7,36,1.1,6.8,1,2,0
,"Luke Babbitt, SF",ATL/MIA,50,14.3,54,1.1,3.6,0,1,0
,"Shane Larkin, PG",BOS,54,14.4,58,1.1,3.6,0,1,0
,"Arron Afflalo, SG",ORL,53,12.9,56,1.1,3.9,0,2,1
327,"Quincy Pondexter, SG",CHI,23,8.5,24,1.0,5.9,0,1,0
,"Malachi Richardson, SG",SAC/TOR,26,12.5,27,1.0,4.0,0,0,0
,"Ramon Sessions, PG",NY/WSH,28,14.0,29,1.0,3.6,0,0,0
,"Jason Terry, SG",MIL,51,16.0,52,1.0,3.1,1,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Lucas Nogueira, C",TOR,49,8.5,49,1.0,5.6,0,0,0
,"Juan Hernangomez, PF",DEN,25,11.1,25,1.0,4.3,0,0,0
,"Danuel House Jr., SF",PHX,23,17.5,23,1.0,2.7,0,0,0
,"Antonio Blakeney, SG",CHI,19,16.5,19,1.0,2.9,0,1,0
,"James Webb III, SF",BKN,10,12.0,10,1.0,4.0,0,0,0
,"Kawhi Leonard, SF",SA,9,23.3,9,1.0,2.1,0,0,0
,"Okaro White, F",MIA,6,13.3,6,1.0,3.6,0,0,0
,"Walt Lemon Jr., G",NO,5,7.0,5,1.0,6.9,0,0,0
,"Josh Smith, PF",NO,3,4.0,3,1.0,12.0,0,0,0
,"David Stockton, PG",UTAH,3,3.0,3,1.0,16.0,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Josh McRoberts, PF",DAL,2,3.0,2,1.0,16.0,0,0,0
,"Kendrick Perkins, C",CLE,1,15.0,1,1.0,3.2,0,0,0
,"Gordon Hayward, SF",BOS,1,5.0,1,1.0,9.6,0,0,0
,"Jeremy Evans, F",ATL,1,5.0,1,1.0,9.6,0,0,0
,"Edmond Sumner, PG",IND,1,2.0,1,1.0,24.0,0,0,0
,"Justin Patton, C",MIN,1,4.0,1,1.0,12.0,0,0,0
,"Malik Monk, SG",CHA,63,13.5,60,1.0,3.4,0,0,0
348,"Tony Parker, PG",SA,55,19.5,52,0.9,2.3,0,1,0
,"Abdel Nader, SF",BOS,48,10.9,45,0.9,4.1,0,0,0
,"Ante Zizic, PF",CLE,32,6.7,30,0.9,6.7,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Damian Jones, C",GS,15,5.9,14,0.9,7.6,0,0,0
,"Raul Neto, PG",UTAH,41,12.1,38,0.9,3.7,0,1,0
,"Julyan Stone, G",CHA,23,7.6,21,0.9,5.8,0,0,0
,"Brandon Paul, G",SA,64,9.0,58,0.9,4.8,0,1,0
,"Josh Magette, G",ATL,18,12.0,16,0.9,3.6,0,0,0
,"Nigel Hayes, SF",LAL/SAC/TOR,9,13.6,8,0.9,3.1,0,0,0
,"Aaron Brooks, PG",MIN,32,5.9,28,0.9,7.1,0,0,0
,"Dakari Johnson, C",OKC,31,5.2,27,0.9,8.0,0,0,0
,"Dwayne Bacon, SF",CHA,53,13.5,46,0.9,3.1,0,0,0
,"Furkan Korkmaz, SG",PHI,14,5.7,12,0.9,7.2,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
361,"MarShon Brooks, SG",MEM,7,27.6,6,0.9,1.5,0,0,0
362,"T.J. Leaf, PF",IND,53,8.6,45,0.8,4.7,0,0,0
,"Kadeem Allen, SG",BOS,18,5.9,15,0.8,6.7,0,0,0
,"Joffrey Lauvergne, C",SA,55,9.7,45,0.8,4.0,0,0,0
,"Davon Reed, SG",PHX,21,11.5,17,0.8,3.4,0,0,0
,"Andrew White III, SF",ATL,15,13.9,12,0.8,2.8,0,0,0
,"Jacob Wiley, SF",BKN,5,6.6,4,0.8,5.8,0,0,0
,"Brandon Jennings, G",MIL,14,14.6,11,0.8,2.6,0,1,0
,"Zhou Qi, PF",HOU,18,6.9,14,0.8,5.4,0,0,0
,"Damyean Dotson, SG",NY,44,10.8,34,0.8,3.4,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Marcus Georges-Hunt, SG",MIN,42,5.3,32,0.8,6.9,0,0,0
,"Ryan Arcidiacono, PG",CHI,24,12.7,18,0.8,2.8,0,0,0
373,"Joe Young, PG",IND,53,10.5,39,0.7,3.4,0,0,0
,"Jamel Artis, SG",ORL,15,18.6,11,0.7,1.9,0,0,0
,"Brice Johnson, PF",LAC/MEM,18,5.4,13,0.7,6.4,0,0,0
,"Joakim Noah, C",NY,7,5.7,5,0.7,6.0,0,0,0
,"Georgios Papagiannis, C",POR/SAC,17,7.2,12,0.7,4.7,0,0,0
,"Shabazz Muhammad, SG",MIL/MIN,43,9.7,30,0.7,3.4,0,0,0
,"Guerschon Yabusele, PF",BOS,33,7.1,23,0.7,4.7,0,0,0
,"Kay Felder, PG",CHI/DET,16,8.8,11,0.7,3.8,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Langston Galloway, SG",DET,58,14.9,39,0.7,2.2,0,0,0
,"Malcolm Miller, SF",TOR,15,8.4,10,0.7,3.8,0,0,0
,"Bruno Caboclo, SF",SAC/TOR,12,8.9,8,0.7,3.6,0,0,0
,"Xavier Munford, PG",MIL,6,3.5,4,0.7,9.1,0,0,0
,"James Young, SG",PHI,6,10.2,4,0.7,3.1,0,0,0
,"Jameel Warney, PF",DAL,3,9.0,2,0.7,3.6,0,0,0
,"Alec Peters, PF",PHX,20,11.3,13,0.7,2.8,0,0,0
388,"Derrick Rose, PG",CLE/MIN,25,16.8,16,0.6,1.8,0,0,0
,"Alex Poythress, F",IND,25,4.2,16,0.6,7.4,0,0,0
,"Sean Kilpatrick, G",CHI/LAC/MIL/BKN,52,12.3,33,0.6,2.5,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Glenn Robinson III, SG",IND,23,14.7,14,0.6,2.0,0,0,0
,"Larry Drew II, PG",NO/PHI,10,7.0,6,0.6,4.1,0,0,0
,"Nik Stauskas, SG",BKN/PHI,41,12.8,24,0.6,2.2,0,0,0
,"Malik Beasley, SG",DEN,62,9.5,36,0.6,2.9,0,0,0
,"Henry Ellenson, PF",DET,38,8.7,22,0.6,3.2,0,0,0
,"Alfonzo McKinnie, F",TOR,14,3.8,8,0.6,7.2,0,0,0
,"Richard Jefferson, SF",DEN,20,8.2,11,0.6,3.2,0,0,0
398,"Jabari Bird, SG",BOS,13,8.8,7,0.5,2.9,0,0,0
,"Rashad Vaughn, G",MIL/BKN/ORL,28,7.6,15,0.5,3.4,0,0,0
,"Cole Aldrich, C",MIN,21,2.3,11,0.5,10.8,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
401,"Lorenzo Brown, PG",TOR,14,9.9,7,0.5,2.4,0,0,0
,"Darrun Hilliard, SG",SA,14,6.8,7,0.5,3.5,0,0,0
,"Joel Bolomboy, PF",MIL,6,6.3,3,0.5,3.8,0,0,0
,"Xavier Silas, G",BOS,2,3.5,1,0.5,6.9,0,0,0
,"PJ Dozier, PG",OKC,2,1.5,1,0.5,16.0,0,0,0
,"Derrick White, PG",SA,17,8.2,8,0.5,2.8,0,0,0
,"Nick Collison, F",OKC,15,5.0,7,0.5,4.5,0,0,0
,"Demetrius Jackson, PG",HOU/PHI,15,5.3,7,0.5,4.2,0,0,0
409,"Derrick Walton Jr., PG",MIA,16,9.2,7,0.4,2.3,0,0,0
,"London Perrantes, G",CLE,14,4.7,6,0.4,4.4,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Chris McCullough, PF",WSH,19,4.7,8,0.4,4.3,0,0,0
,"John Holland, G",CLE,24,7.3,10,0.4,2.8,0,0,0
,"Thomas Bryant, C",LAL,15,4.8,6,0.4,4.0,0,2,0
,"Vander Blue, SG",LAL,5,9.0,2,0.4,2.1,0,0,0
,"Jake Layman, SF",POR,35,4.6,13,0.4,3.9,0,0,0
,"Damien Wilkins, SG",IND,19,8.0,7,0.4,2.2,0,0,0
417,"Kyle Singler, SF",OKC,12,4.9,4,0.3,3.3,0,0,0
,"Daniel Hamilton, SG",OKC,6,4.7,2,0.3,3.4,0,0,0
,"Jaylen Morris, G",ATL,6,16.3,2,0.3,1.0,0,0,0
,"James Michael McAdoo, SF",PHI,3,6.0,1,0.3,2.7,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Matt Williams Jr., SG",MIA,3,3.7,1,0.3,4.4,0,0,0
,"Monte Morris, PG",DEN,3,8.3,1,0.3,1.9,0,0,0
,"Tim Quarterman, G",HOU,3,4.3,1,0.3,3.7,0,0,0
,"D.J. Wilson, PF",MIL,22,3.2,7,0.3,4.7,0,0,0
,"Bobby Brown, PG",HOU,20,5.8,6,0.3,2.5,0,0,0
,"Jeff Withey, C",DAL,10,3.9,3,0.3,3.7,0,0,0
427,"Udonis Haslem, PF",MIA,14,5.1,3,0.2,2.0,0,0,0
,"Nate Wolters, PG",UTAH,5,3.8,1,0.2,2.5,0,0,0
429,"Georges Niang, SF",UTAH,9,3.6,1,0.1,1.5,0,0,0
,"Tony Bradley, C",UTAH,9,3.2,1,0.1,1.7,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Ike Anigbogu, C",IND,11,2.7,1,0.1,1.6,0,0,0
432,"Luol Deng, SF",LAL,1,13.0,0,0.0,0.0,0,0,0
,"Derrick Williams, PF",LAL,2,4.5,0,0.0,0.0,0,0,0
,"Jacob Pullen, PG",PHI,3,2.0,0,0.0,0.0,0,0,0
,"Trey McKinney-Jones, SG",IND,1,1.0,0,0.0,0.0,0,0,0
,"Scotty Hopson, SG",DAL,1,8.0,0,0.0,0.0,0,0,0
,"Reggie Hearn, SG",DET,3,2.3,0,0.0,0.0,0,0,0
,"Jarell Eddie, F",BOS/CHI,3,3.0,0,0.0,0.0,0,0,0
,"Anthony Brown, F",MIN,1,4.0,0,0.0,0.0,0,0,0
,"Marcus Paige, PG",CHA,5,5.6,0,0.0,0.0,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
441,"Charles Cooke, SG",NO,13,2.9,0,0.0,0.0,0,0,0
,"Naz Mitrou-Long, G",UTAH,1,1.0,0,0.0,0.0,0,0,0
,"Erik McCree, SF",UTAH,4,2.0,0,0.0,0.0,0,0,0
,"Vince Hunter, SF",MEM,4,1.8,0,0.0,0.0,0,0,0
,"Mindaugas Kuzminskas, F",NY,1,2.0,0,0.0,0.0,0,0,0
,"Luis Montero, SG",DET,2,4.0,0,0.0,0.0,0,0,0
,"Nicolas Brussino, SF",ATL,4,2.5,0,0.0,0.0,0,0,0
,"Tyler Lydon, PF",DEN,1,2.0,0,0.0,0.0,0,0,0
,"Chris Boucher, F",GS,1,1.0,0,0.0,0.0,0,0,0
