RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Austin Rivers, PG",LAC,61,33.7,152,2.5,3.5,0,4,0
,"Mason Plumlee, C",DEN,74,19.5,184,2.5,6.1,0,1,0
,"Ben McLemore, SG",MEM,56,19.5,139,2.5,6.1,1,2,0
,"Jrue Holiday, PG",NO,81,36.1,201,2.5,3.3,0,0,0
,"Aron Baynes, C",BOS,81,18.3,200,2.5,6.5,0,0,0
,"Andrew Harrison, SG",MEM,56,23.7,138,2.5,5.0,0,6,1
,"Marcus Smart, PG",BOS,54,29.9,133,2.5,4.0,0,2,0
,"Kyle Lowry, PG",TOR,78,32.2,192,2.5,3.7,1,10,2
,"Josh Richardson, SF",MIA,81,33.2,199,2.5,3.6,0,4,0
,"Cody Zeller, C",CHA,33,19.0,81,2.5,6.2,1,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
81,"Stanley Johnson, SF",DET,69,27.4,169,2.4,4.3,0,4,0
,"Jeff Teague, PG",MIN,70,33.0,171,2.4,3.6,3,4,1
,"Chris Paul, PG",HOU,58,31.8,141,2.4,3.7,0,10,0
,"Hassan Whiteside, C",MIA,54,25.3,131,2.4,4.6,0,2,0
,"Evan Fournier, SG",ORL,57,32.2,138,2.4,3.6,0,4,0
,"Ed Davis, PF",POR,78,18.9,188,2.4,6.1,1,2,0
,"Denzel Valentine, SF",CHI,77,27.2,185,2.4,4.2,0,0,0
,"Goran Dragic, PG",MIA,75,31.7,180,2.4,3.6,0,4,0
,"Blake Griffin, PF",DET/LAC,58,34.0,139,2.4,3.4,1,14,1
,"Nene Hilario, C",HOU,52,14.6,123,2.4,7.8,0,1,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Dwight Powell, C",DAL,79,21.2,186,2.4,5.3,0,2,0
92,"James Harden, PG",HOU,72,35.4,169,2.3,3.2,0,7,1
,"Jae Crowder, PF",CLE/UTAH,80,26.1,187,2.3,4.3,0,2,1
,"Victor Oladipo, SG",IND,75,34.0,175,2.3,3.3,0,2,0
,"Elfrid Payton, PG",ORL/PHX,63,28.7,147,2.3,3.9,0,5,1
,"Jerryd Bayless, PG",PHI,39,23.7,91,2.3,4.7,0,1,0
,"Spencer Dinwiddie, PG",BKN,80,28.8,186,2.3,3.9,0,1,0
,"Frank Ntilikina, PG",NY,78,21.9,181,2.3,5.1,0,1,0
,"Tyson Chandler, C",PHX,46,25.0,106,2.3,4.4,1,2,0
,"TJ Warren, SF",PHX,65,33.0,149,2.3,3.3,1,10,1
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Zach LaVine, PG",CHI,24,27.3,55,2.3,4.0,0,1,0
,"Alex Len, C",PHX,69,20.2,158,2.3,5.4,2,1,1
,"Milos Teodosic, PG",LAC,45,25.2,103,2.3,4.4,0,1,0
,"Andre Roberson, SG",OKC,39,26.6,89,2.3,4.1,0,0,0
,"Ersan Ilyasova, PF",ATL/PHI,69,25.1,157,2.3,4.4,0,0,0
,"Jamil Wilson, SF",LAC,15,18.3,34,2.3,6.0,0,0,0
,"Kent Bazemore, SG",ATL,65,27.5,147,2.3,3.9,0,8,0
,"DeMarre Carroll, SF",BKN,73,29.9,165,2.3,3.6,0,4,0
,"Lonzo Ball, PG",LAL,52,34.2,117,2.3,3.2,0,1,0
110,"Allen Crabbe, SG",BKN,75,29.3,168,2.2,3.7,0,3,1
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Stephen Curry, PG",GS,51,32.0,114,2.2,3.4,0,2,1
,"De'Aaron Fox, PG",SAC,73,27.8,163,2.2,3.9,0,0,0
,"Tony Allen, SG",NO,22,12.4,49,2.2,8.6,0,1,0
,"Wesley Matthews, SG",DAL,63,33.8,140,2.2,3.2,0,8,0
,"E'Twaun Moore, SF",NO,82,31.5,182,2.2,3.4,0,1,0
,"Bogdan Bogdanovic, SG",SAC,78,27.9,172,2.2,3.8,0,0,0
,"Dennis Smith Jr., PG",DAL,69,29.7,152,2.2,3.6,0,5,0
,"Skal Labissiere, PF",SAC,60,20.7,132,2.2,5.1,0,1,0
,"Dennis Schroder, PG",ATL,67,31.0,147,2.2,3.4,1,4,0
,"Thon Maker, C",MIL,74,16.7,162,2.2,6.3,2,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
121,"JaKarr Sampson, SF",SAC,22,15.6,48,2.2,6.7,0,0,0
,"Joe Ingles, SF",UTAH,82,31.5,178,2.2,3.3,0,2,0
,"Thaddeus Young, PF",IND,81,32.2,175,2.2,3.2,0,2,0
,"Lance Stephenson, SG",IND,82,22.6,177,2.2,4.6,2,8,0
,"Tim Hardaway Jr., SF",NY,57,33.1,123,2.2,3.1,0,2,0
126,"LaMarcus Aldridge, PF",SA,75,33.5,161,2.1,3.1,0,3,0
,"Jamal Murray, PG",DEN,81,31.7,173,2.1,3.2,0,4,0
,"Marcin Gortat, C",WSH,82,25.3,175,2.1,4.0,0,3,0
,"Rondae Hollis-Jefferson, SF",BKN,68,28.3,145,2.1,3.6,0,2,0
,"Derrick Favors, PF",UTAH,77,28.0,164,2.1,3.7,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Jayson Tatum, SF",BOS,80,30.5,170,2.1,3.3,0,2,0
,"Gerald Green, SG",HOU,41,22.7,87,2.1,4.5,0,4,1
