RK,PLAYER,TEAM,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
50,"Jimmy Butler, SG",MIN,59,22.2,7.4,15.6,437,921,0.474,367,721,0.509,1.42,0.512
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
51,"Bojan Bogdanovic, SF",IND,80,14.3,5.1,10.7,404,852,0.474,249,466,0.534,1.34,0.565
52,"Eric Bledsoe, PG",MIL/PHX,74,17.7,6.3,13.4,468,989,0.473,343,629,0.545,1.33,0.536
53,"Zach Randolph, PF",SAC,59,14.5,6.1,12.9,361,763,0.473,310,616,0.503,1.12,0.507
54,"Rondae Hollis-Jefferson, SF",BKN,68,13.9,5,10.6,342,724,0.472,329,670,0.491,1.31,0.481
55,"Bobby Portis, PF",CHI,73,13.2,5.2,11.1,382,811,0.471,302,588,0.514,1.19,0.52
56,"Brandon Ingram, SF",LAL,59,16.1,6.1,12.9,358,761,0.47,317,656,0.483,1.25,0.497
57,"DeMarcus Cousins, C",NO,48,25.2,8.5,18,406,864,0.47,302,570,0.53,1.4,0.53
58,"Joe Ingles, SF",UTAH,82,11.5,4.1,8.8,335,718,0.467,131,254,0.516,1.31,0.609
59,"Khris Middleton, SF",MIL,82,20.1,7.2,15.5,593,1272,0.466,447,865,0.517,1.3,0.524
60,"Brook Lopez, C",LAL,74,13,5,10.7,369,793,0.465,257,468,0.549,1.21,0.536
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
61,"Jonathon Simmons, SF",ORL,69,13.9,5.1,11,354,761,0.465,285,557,0.512,1.26,0.511
62,"Jaylen Brown, SG",BOS,70,14.5,5.3,11.5,373,803,0.465,252,497,0.507,1.27,0.54
63,"Tobias Harris, SF",DET/LAC,80,18.6,7,15.3,562,1221,0.46,379,776,0.488,1.22,0.535
64,"Bradley Beal, SG",WSH,82,22.6,8.3,18.1,683,1484,0.46,484,954,0.507,1.25,0.527
65,"Chris Paul, PG",HOU,58,18.6,6.3,13.8,367,798,0.46,223,419,0.532,1.35,0.55
66,"JJ Redick, SG",PHI,70,17.1,5.8,12.6,404,879,0.46,211,419,0.504,1.36,0.569
67,"Evan Fournier, SG",ORL,57,17.8,6.5,14.1,368,802,0.459,241,467,0.516,1.26,0.538
