RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
,"Goran Dragic, PG",MIA,75,31.7,54,0.7,252,3.4,306,4.1,6.2
,"Ian Mahinmi, C",WSH,77,14.9,135,1.8,177,2.3,312,4.1,13.1
,"Jeremy Lamb, SG",CHA,80,24.6,49,0.6,275,3.4,324,4.1,7.9
127,"Rajon Rondo, PG",NO,65,26.2,31,0.5,232,3.6,263,4.0,7.4
,"Justin Holiday, SG",CHI,72,31.5,31,0.4,260,3.6,291,4.0,6.2
,"Salah Mejri, C",DAL,61,12.0,85,1.4,161,2.6,246,4.0,16.2
,"Deyonta Davis, C",MEM,62,15.2,75,1.2,175,2.8,250,4.0,12.7
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
,"Montrezl Harrell, PF",LAC,76,17.0,103,1.4,203,2.7,306,4.0,11.4
,"Brook Lopez, C",LAL,74,23.4,74,1.0,220,3.0,294,4.0,8.1
,"CJ McCollum, SG",POR,81,36.1,53,0.7,268,3.3,321,4.0,5.3
134,"Jerami Grant, SF",OKC,81,20.3,86,1.1,233,2.9,319,3.9,9.3
,"DeMar DeRozan, SG",TOR,80,33.9,59,0.7,256,3.2,315,3.9,5.6
136,"Andre Iguodala, SF",GS,64,25.4,50,0.8,196,3.1,246,3.8,7.3
,"Eric Bledsoe, PG",MIL/PHX,74,31.4,51,0.7,233,3.1,284,3.8,5.9
,"Buddy Hield, SG",SAC,80,25.3,55,0.7,252,3.2,307,3.8,7.3
,"Kent Bazemore, SG",ATL,65,27.5,25,0.4,223,3.4,248,3.8,6.7
,"Klay Thompson, SG",GS,73,34.3,31,0.4,246,3.4,277,3.8,5.3
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
,"Kyrie Irving, PG",BOS,60,32.2,33,0.6,194,3.2,227,3.8,5.6
,"Dennis Smith Jr., PG",DAL,69,29.7,50,0.7,210,3.0,260,3.8,6.1
,"Dwyane Wade, SG",CLE/MIA,67,22.9,50,0.7,202,3.0,252,3.8,7.9
144,"Donovan Mitchell, SG",UTAH,79,33.4,52,0.7,244,3.1,296,3.7,5.4
,"Mario Hezonja, SF",ORL,75,22.1,41,0.5,240,3.2,281,3.7,8.1
,"Quincy Acy, SF",BKN,70,19.4,40,0.6,217,3.1,257,3.7,9.1
,"Jamal Murray, PG",DEN,81,31.7,82,1.0,215,2.7,297,3.7,5.6
,"Caris LeVert, SG",BKN,71,26.3,53,0.7,207,2.9,260,3.7,6.7
,"Stanley Johnson, SF",DET,69,27.4,33,0.5,219,3.2,252,3.7,6.4
150,"Frank Kaminsky, PF",CHA,79,23.2,46,0.6,242,3.1,288,3.6,7.5
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
,"Danny Green, SG",SA,70,25.6,41,0.6,208,3.0,249,3.6,6.7
152,"Josh Richardson, SF",MIA,81,33.2,69,0.9,216,2.7,285,3.5,5.1
,"Jonathon Simmons, SF",ORL,69,29.4,61,0.9,178,2.6,239,3.5,5.7
154,"Tyler Johnson, SG",MIA,72,28.5,34,0.5,214,3.0,248,3.4,5.8
,"Jae Crowder, PF",CLE/UTAH,80,26.1,59,0.7,216,2.7,275,3.4,6.3
,"Royce O'Neale, SF",UTAH,69,16.7,25,0.4,211,3.1,236,3.4,9.9
,"Bojan Bogdanovic, SF",IND,80,30.8,30,0.4,240,3.0,270,3.4,5.3
158,"Zach Collins, C",POR,66,15.8,45,0.7,176,2.7,221,3.3,10.1
,"Joe Harris, SF",BKN,78,25.3,51,0.7,209,2.7,260,3.3,6.3
,"Jonas Jerebko, PF",UTAH,74,15.3,53,0.7,193,2.6,246,3.3,10.4
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
161,"David West, PF",GS,73,13.7,64,0.9,174,2.4,238,3.3,11.4
,"Kevon Looney, SF",GS,66,13.8,83,1.3,132,2.0,215,3.3,11.3
,"Mike Scott, PF",WSH,76,18.5,50,0.7,197,2.6,247,3.3,8.4
,"Maximilian Kleber, PF",DAL,72,16.8,71,1.0,163,2.3,234,3.3,9.3
165,"Spencer Dinwiddie, PG",BKN,80,28.8,40,0.5,219,2.7,259,3.2,5.4
,"Cory Joseph, PG",IND,82,27.0,39,0.5,224,2.7,263,3.2,5.7
,"Tomas Satoransky, SG",WSH,73,22.5,72,1.0,161,2.2,233,3.2,6.8
168,"Wesley Matthews, SG",DAL,63,33.8,28,0.4,170,2.7,198,3.1,4.5
,"Jeff Green, SF",CLE,78,23.4,59,0.8,186,2.4,245,3.1,6.4
,"Dillon Brooks, SF",MEM,82,28.7,49,0.6,208,2.5,257,3.1,5.2
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
,"James Ennis III, SF",DET/MEM,72,22.3,73,1.0,151,2.1,224,3.1,6.7
,"Dennis Schroder, PG",ATL,67,31.0,44,0.7,164,2.4,208,3.1,4.8
,"Kemba Walker, PG",CHA,80,34.2,32,0.4,216,2.7,248,3.1,4.4
,"Evan Turner, SF",POR,79,25.7,30,0.4,214,2.7,244,3.1,5.8
,"Jarrett Jack, PG",NY,62,25.0,22,0.4,169,2.7,191,3.1,5.9
,"Anthony Tolliver, PF",DET,79,22.2,50,0.6,191,2.4,241,3.1,6.6
177,"Luc Mbah a Moute, PF",HOU,61,25.6,22,0.4,164,2.7,186,3.0,5.7
,"Thon Maker, C",MIL,74,16.7,75,1.0,150,2.0,225,3.0,8.7
,"Yogi Ferrell, PG",DAL,82,27.8,26,0.3,223,2.7,249,3.0,5.2
,"Alec Burks, SG",UTAH,64,16.5,19,0.3,173,2.7,192,3.0,8.7
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
,"Jeff Teague, PG",MIN,70,33.0,24,0.3,185,2.6,209,3.0,4.3
,"T.J. McConnell, PG",PHI,76,22.4,37,0.5,189,2.5,226,3.0,6.4
183,"Courtney Lee, SG",NY,76,30.4,30,0.4,194,2.6,224,2.9,4.7
,"JR Smith, SG",CLE,80,28.1,29,0.4,206,2.6,235,2.9,5.0
,"Wesley Johnson, SF",LAC,74,20.1,29,0.4,187,2.5,216,2.9,7.0
,"J.J. Barea, PG",DAL,69,23.2,15,0.2,186,2.7,201,2.9,6.0
,"E'Twaun Moore, SF",NO,82,31.5,57,0.7,181,2.2,238,2.9,4.4
,"Delon Wright, PG",TOR,69,20.8,45,0.7,153,2.2,198,2.9,6.6
,"Bogdan Bogdanovic, SG",SAC,78,27.9,31,0.4,192,2.5,223,2.9,4.9
190,"Wayne Ellington, SG",MIA,77,26.5,23,0.3,195,2.5,218,2.8,5.1
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
,"De'Aaron Fox, PG",SAC,73,27.8,33,0.5,171,2.3,204,2.8,4.8
,"Justin Jackson, SF",SAC,68,22.1,27,0.4,160,2.4,187,2.8,6.0
,"Rodney Hood, SG",CLE/UTAH,60,26.9,22,0.4,143,2.4,165,2.8,4.9
194,"Maurice Harkless, SF",POR,59,21.4,46,0.8,116,2.0,162,2.7,6.2
,"Ish Smith, PG",DET,82,24.9,27,0.3,197,2.4,224,2.7,5.3
,"George Hill, PG",CLE/SAC,67,27.0,42,0.6,139,2.1,181,2.7,4.8
,"Jordan Clarkson, PG",CLE/LAL,81,23.3,57,0.7,160,2.0,217,2.7,5.5
198,"Gary Harris, SG",DEN,67,34.4,37,0.6,139,2.1,176,2.6,3.7
,"JaVale McGee, C",GS,65,9.5,59,0.9,110,1.7,169,2.6,13.2
,"Darren Collison, PG",IND,69,29.2,37,0.5,141,2.0,178,2.6,4.2
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
201,"Vince Carter, SG",SAC,58,17.7,18,0.3,130,2.2,148,2.6,6.9
202,"JJ Redick, SG",PHI,70,30.2,9,0.1,169,2.4,178,2.5,4.0
,"Lou Williams, SG",LAC,79,32.8,40,0.5,158,2.0,198,2.5,3.7
,"OG Anunoby, SF",TOR,74,20.0,44,0.6,140,1.9,184,2.5,6.0
,"Reggie Bullock, SG",DET,62,27.9,27,0.4,127,2.0,154,2.5,4.3
,"Doug McDermott, SF",DAL/NY,81,21.8,40,0.5,160,2.0,200,2.5,5.4
,"Eric Gordon, SG",HOU,69,31.2,25,0.4,145,2.1,170,2.5,3.8
208,"Fred VanVleet, PG",TOR,76,20.0,25,0.3,159,2.1,184,2.4,5.8
,"Luke Kennard, SG",DET,73,20.0,21,0.3,155,2.1,176,2.4,5.8
,"Shelvin Mack, G",ORL,69,19.8,23,0.3,143,2.1,166,2.4,5.8
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
,"Lance Thomas, SF",NY,73,18.5,44,0.6,131,1.8,175,2.4,6.2
,"Sam Dekker, SF",LAC,73,12.1,44,0.6,130,1.8,174,2.4,9.5
,"Ekpe Udoh, C",UTAH,63,12.9,68,1.1,82,1.3,150,2.4,8.9
,"Mario Chalmers, PG",MEM,66,21.5,13,0.2,144,2.2,157,2.4,5.3
,"Austin Rivers, PG",LAC,61,33.7,27,0.4,118,1.9,145,2.4,3.4
,"Emmanuel Mudiay, PG",DEN/NY,64,19.4,26,0.4,126,2.0,152,2.4,5.9
,"Patrick Patterson, PF",OKC,82,15.5,32,0.4,161,2.0,193,2.4,7.3
218,"Garrett Temple, SF",SAC,65,24.8,22,0.3,130,2.0,152,2.3,4.5
,"Josh Huestis, SG",OKC,69,14.2,42,0.6,119,1.7,161,2.3,7.9
,"Jerian Grant, PG",CHI,74,22.8,31,0.4,140,1.9,171,2.3,4.9
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
,"Shabazz Napier, PG",POR,74,20.7,26,0.4,144,1.9,170,2.3,5.3
,"Frank Ntilikina, PG",NY,78,21.9,37,0.5,140,1.8,177,2.3,5.0
,"Kyle Korver, SG",CLE,73,21.6,9,0.1,156,2.1,165,2.3,5.0
224,"Wesley Iwundu, SF",ORL,62,16.5,36,0.6,101,1.6,137,2.2,6.4
,"Semi Ojeleye, PF",BOS,73,15.8,37,0.5,124,1.7,161,2.2,6.7
,"Manu Ginobili, SG",SA,65,20.0,19,0.3,123,1.9,142,2.2,5.2
,"CJ Miles, SF",TOR,70,19.1,18,0.3,134,1.9,152,2.2,5.5
228,"Corey Brewer, SG",LAL/OKC,72,16.8,43,0.6,111,1.5,154,2.1,6.1
,"D.J. Augustin, PG",ORL,75,23.5,30,0.4,130,1.7,160,2.1,4.4
230,"Darius Miller, SF",NO,82,23.7,18,0.2,146,1.8,164,2.0,4.0
