RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
,"Buddy Hield, SG",SAC,80,25.3,85,1.06,2.02,124,1.55,148,0.69,0.57
58,"Damian Lillard, PG",POR,73,36.6,77,1.05,1.38,206,2.82,117,0.37,0.66
,"Willie Cauley-Stein, C",SAC,73,28.0,77,1.05,1.81,109,1.49,185,0.71,0.42
,"Courtney Lee, SG",NY,76,30.4,80,1.05,1.66,84,1.11,109,0.95,0.73
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
61,"Delon Wright, PG",TOR,69,20.8,72,1.04,2.41,78,1.13,81,0.92,0.89
,"Josh Jackson, SG",PHX,77,25.4,80,1.04,1.96,146,1.90,218,0.55,0.37
,"Jayson Tatum, SF",BOS,80,30.5,83,1.04,1.63,114,1.43,170,0.73,0.49
,"Taurean Prince, SF",ATL,82,30.0,85,1.04,1.66,191,2.33,168,0.45,0.51
65,"Dennis Smith Jr., PG",DAL,69,29.7,71,1.03,1.66,194,2.81,152,0.37,0.47
,"Wesley Johnson, SF",LAC,74,20.1,76,1.03,2.45,55,0.74,146,1.38,0.52
67,"Aaron Gordon, PF",ORL,58,32.9,59,1.02,1.48,107,1.84,111,0.55,0.53
,"Nicolas Batum, SG",CHA,64,31.0,65,1.02,1.57,131,2.05,72,0.50,0.90
69,"Will Barton, SF",DEN,81,33.1,82,1.01,1.47,149,1.84,168,0.55,0.49
70,"Terry Rozier, PG",BOS,80,25.9,80,1.00,1.86,80,1.00,123,1.00,0.65
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
,"Jaylen Brown, SG",BOS,70,30.7,70,1.00,1.56,124,1.77,181,0.56,0.39
,"TJ Warren, SF",PHX,65,33.0,65,1.00,1.46,84,1.29,149,0.77,0.44
73,"Kelly Oubre Jr., SF",WSH,81,27.5,80,0.99,1.72,90,1.11,234,0.89,0.34
,"Tyler Ulis, G",PHX,71,23.4,70,0.99,2.03,127,1.79,120,0.55,0.58
75,"Cory Joseph, PG",IND,82,27.0,80,0.98,1.74,87,1.06,141,0.92,0.57
,"Jamal Murray, PG",DEN,81,31.7,79,0.98,1.48,172,2.12,173,0.46,0.46
