RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
,"Ryan Anderson, PF",HOU,66,9.3,2,5,131,339,0.386,76,141,0.539,1.29,0.568
,"Patrick Patterson, PF",OKC,82,3.9,0.8,2,66,171,0.386,40,95,0.421,1.2,0.523
53,"Taurean Prince, SF",ATL,82,14.1,2.1,6,176,457,0.385,239,518,0.461,1.19,0.516
,"Malcolm Brogdon, PG",MIL,48,13,1.3,3,62,161,0.385,182,342,0.532,1.24,0.547
,"Luke Babbitt, SF",ATL/MIA,50,5.2,1.2,3,60,156,0.385,31,59,0.525,1.2,0.563
56,"Kemba Walker, PG",CHA,80,22.1,2.9,8,231,601,0.384,357,762,0.469,1.3,0.516
57,"Kentavious Caldwell-Pope, SG",LAL,74,13.4,2.1,6,159,415,0.383,181,383,0.473,1.24,0.526
,"Devin Booker, SG",PHX,54,24.9,2.7,7,147,384,0.383,308,670,0.46,1.28,0.501
59,"Rodney Hood, SG",CLE/UTAH,60,14.7,2.1,6,127,333,0.381,195,418,0.467,1.17,0.513
,"Trey Lyles, PF",DEN,73,9.9,1.1,3,83,218,0.381,187,332,0.563,1.32,0.566
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
,"Wesley Matthews, SG",DAL,63,12.7,2.4,6,153,402,0.381,130,295,0.441,1.15,0.516
,"Terry Rozier, PG",BOS,80,11.3,1.9,5,153,402,0.381,163,398,0.41,1.13,0.491
63,"Alex Abrines, SG",OKC,75,4.7,1.1,3,84,221,0.38,31,70,0.443,1.21,0.54
,"Chris Paul, PG",HOU,58,18.6,2.5,7,144,379,0.38,223,419,0.532,1.35,0.55
,"Frank Kaminsky, PF",CHA,79,11.1,1.3,3,104,274,0.38,203,442,0.459,1.22,0.501
66,"Milos Teodosic, PG",LAC,45,9.5,2,5,88,232,0.379,63,128,0.492,1.19,0.542
,"Evan Fournier, SG",ORL,57,17.8,2.2,6,127,335,0.379,241,467,0.516,1.26,0.538
,"Kelly Olynyk, PF",MIA,76,11.5,1.4,4,106,280,0.379,210,356,0.59,1.37,0.58
69,"Jamal Murray, PG",DEN,81,16.7,2,5,165,436,0.378,314,626,0.502,1.27,0.529
,"Josh Richardson, SF",MIA,81,12.9,1.6,4,127,336,0.378,272,549,0.495,1.18,0.523
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
,"Allen Crabbe, SG",BKN,75,13.2,2.7,7,201,532,0.378,136,295,0.461,1.2,0.529
,"Austin Rivers, PG",LAC,61,15.1,2.2,6,136,360,0.378,205,445,0.461,1.14,0.508
73,"Nick Young, SG",GS,80,7.3,1.5,4,123,326,0.377,78,162,0.481,1.19,0.538
,"Marco Belinelli, SG",ATL/PHI,80,12.1,1.9,5,149,395,0.377,188,369,0.509,1.27,0.539
,"Nikola Mirotic, PF",NO/CHI,55,15.6,2.5,7,135,358,0.377,171,326,0.525,1.26,0.546
76,"Shabazz Napier, PG",POR,74,8.7,1.1,3,82,218,0.376,141,313,0.45,1.21,0.497
77,"Bradley Beal, SG",WSH,82,22.6,2.4,6,199,530,0.375,484,954,0.507,1.25,0.527
,"JR Smith, SG",CLE,80,8.3,1.8,5,143,381,0.375,97,214,0.453,1.11,0.524
79,"Yogi Ferrell, PG",DAL,82,10.2,1.6,4,134,359,0.373,177,371,0.477,1.15,0.518
,"Davis Bertans, C",SA,77,5.9,1.2,3,94,252,0.373,67,114,0.588,1.25,0.568
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
81,"Patty Mills, PG",SA,82,10,1.9,5,154,414,0.372,126,268,0.47,1.2,0.523
82,"John Wall, PG",WSH,41,19.4,1.5,4,62,167,0.371,218,500,0.436,1.19,0.466
,"Mike Muscala, PF",ATL,53,7.6,1.2,3,62,167,0.371,81,145,0.559,1.3,0.558
,"Victor Oladipo, SG",IND,75,23.1,2.1,6,161,434,0.371,479,908,0.528,1.29,0.537
,"PJ Tucker, SF",HOU,82,6.1,1.4,4,115,310,0.371,57,131,0.435,1.14,0.52
,"DeMarre Carroll, SF",BKN,73,13.5,2,5,145,391,0.371,180,394,0.457,1.25,0.506
,"OG Anunoby, SF",TOR,74,5.9,1,3,73,197,0.371,90,149,0.604,1.27,0.577
88,"Jeremy Lamb, SG",CHA,80,12.9,1.2,3,94,254,0.37,286,578,0.495,1.24,0.513
,"Goran Dragic, PG",MIA,75,17.3,1.5,4,111,300,0.37,373,775,0.481,1.21,0.502
,"Will Barton, SF",DEN,81,15.7,1.9,5,156,422,0.37,309,606,0.51,1.23,0.528
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
91,"Avery Bradley, SG",DET/LAC,46,14.3,1.6,4,75,203,0.369,184,422,0.436,1.05,0.474
,"Gerald Green, SG",HOU,41,12.1,2.7,7,110,298,0.369,58,115,0.504,1.2,0.54
,"Marreese Speights, PF",ORL,52,7.7,1.7,4,86,233,0.369,52,116,0.448,1.15,0.519
,"Robert Covington, SF",PHI,80,12.6,2.5,7,203,550,0.369,142,286,0.497,1.21,0.534
,"Al-Farouq Aminu, PF",POR,69,9.3,1.8,5,125,339,0.369,105,243,0.432,1.11,0.503
96,"Jeff Teague, PG",MIN,70,14.2,1.2,3,84,228,0.368,270,566,0.477,1.25,0.499
,"Trevor Ariza, SF",HOU,67,11.7,2.5,7,170,462,0.368,98,189,0.519,1.2,0.542
,"Marcus Morris, PF",BOS,54,13.6,1.6,4,86,234,0.368,176,377,0.467,1.2,0.499
99,"J.J. Barea, PG",DAL,69,11.6,1.7,5,115,313,0.367,188,377,0.499,1.16,0.522
,"Tyler Johnson, SG",MIA,72,11.7,1.7,5,119,324,0.367,190,387,0.491,1.19,0.518
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
,"Markieff Morris, PF",WSH,73,11.5,1,3,76,207,0.367,254,480,0.529,1.22,0.536
,"James Harden, PG",HOU,72,30.4,3.7,10,265,722,0.367,386,727,0.531,1.51,0.541
,"LeBron James, SF",CLE,82,27.5,1.8,5,149,406,0.367,708,1174,0.603,1.42,0.59
104,"Dragan Bender, PF",PHX,82,6.5,1.4,4,118,322,0.366,69,162,0.426,1.1,0.508
,"Kyle Kuzma, PF",LAL,77,16.1,2.1,6,159,434,0.366,309,605,0.511,1.2,0.527
,"Delon Wright, PG",TOR,69,8,0.8,2,56,153,0.366,145,279,0.52,1.28,0.53
107,"Luc Mbah a Moute, PF",HOU,61,7.5,1,3,63,173,0.364,103,172,0.599,1.33,0.572
108,"Danny Green, SG",SA,70,8.6,1.7,5,116,320,0.363,101,241,0.419,1.07,0.49
109,"Tyler Dorsey, SG",ATL,56,7.2,1.3,4,72,199,0.362,72,183,0.393,1.06,0.471
,"Lauri Markkanen, PF",CHI,68,15.2,2.1,6,145,401,0.362,229,461,0.497,1.2,0.518
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
111,"CJ Miles, SF",TOR,70,10,2.3,6,164,454,0.361,63,145,0.434,1.17,0.516
,"Damian Lillard, PG",POR,73,26.9,3.1,9,227,629,0.361,394,786,0.501,1.39,0.519
113,"Serge Ibaka, PF",TOR,76,12.6,1.4,4,107,297,0.36,272,487,0.559,1.22,0.552
,"Ersan Ilyasova, PF",ATL/PHI,69,10.9,1.3,4,91,253,0.36,186,360,0.517,1.22,0.526
115,"Lou Williams, SG",LAC,79,22.6,2.4,7,186,518,0.359,396,819,0.484,1.33,0.505
,"Bobby Portis, PF",CHI,73,13.2,1.1,3,80,223,0.359,302,588,0.514,1.19,0.52
