RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Kelly Oubre Jr., SF",WSH,81,27.5,98,1.2,90,1.1,2.1,1.09
,"Taj Gibson, PF",MIN,82,33.3,99,1.2,89,1.1,1.7,1.11
,"Trevor Booker, PF",IND/BKN/PHI,68,17.0,82,1.2,59,0.9,3.4,1.39
,"Kyle Korver, SG",CLE,73,21.6,88,1.2,55,0.8,2.7,1.60
,"Skal Labissiere, PF",SAC,60,20.7,72,1.2,73,1.2,2.8,0.99
,"Vince Carter, SG",SAC,58,17.7,69,1.2,36,0.6,3.2,1.92
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Alex Len, C",PHX,69,20.2,82,1.2,78,1.1,2.8,1.05
,"Eric Moreland, C",DET,67,12.0,78,1.2,41,0.6,4.7,1.90
,"Lauri Markkanen, PF",CHI,68,29.7,79,1.2,83,1.2,1.9,0.95
,"Steven Adams, C",OKC,76,32.7,88,1.2,127,1.7,1.7,0.69
,"Marquese Chriss, PF",PHX,72,21.2,83,1.2,107,1.5,2.6,0.78
,"Dwight Powell, C",DAL,79,21.2,91,1.2,59,0.7,2.6,1.54
197,"Aron Baynes, C",BOS,81,18.3,93,1.1,80,1.0,3.0,1.16
,"Anthony Tolliver, PF",DET,79,22.2,90,1.1,58,0.7,2.5,1.55
,"Pat Connaughton, SG",POR,82,18.1,91,1.1,43,0.5,2.9,2.12
,"Justin Jackson, SF",SAC,68,22.1,74,1.1,40,0.6,2.4,1.85
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
201,"Mike Scott, PF",WSH,76,18.5,80,1.1,79,1.0,2.7,1.01
,"Jonas Valanciunas, C",TOR,77,22.4,81,1.1,115,1.5,2.3,0.70
203,"Alec Burks, SG",UTAH,64,16.5,67,1.0,60,0.9,3.0,1.12
,"Wayne Ellington, SG",MIA,77,26.5,79,1.0,52,0.7,1.9,1.52
,"Bryn Forbes, SG",SA,80,19.0,80,1.0,37,0.5,2.5,2.16
,"Jarell Martin, PF",MEM,73,22.8,73,1.0,86,1.2,2.1,0.85
,"Langston Galloway, SG",DET,58,14.9,58,1.0,18,0.3,3.2,3.22
,"James Ennis III, SF",DET/MEM,72,22.3,71,1.0,56,0.8,2.1,1.27
,"Doug McDermott, SF",DAL/NY,81,21.8,79,1.0,56,0.7,2.1,1.41
,"Montrezl Harrell, PF",LAC,76,17.0,74,1.0,68,0.9,2.7,1.09
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Davis Bertans, C",SA,77,14.1,74,1.0,36,0.5,3.3,2.06
,"Michael Kidd-Gilchrist, SF",CHA,74,25.0,71,1.0,53,0.7,1.8,1.34
213,"PJ Tucker, SF",HOU,82,27.8,77,0.9,74,0.9,1.6,1.04
,"Treveon Graham, SG",CHA,63,16.7,59,0.9,27,0.4,2.7,2.19
,"Sindarius Thornwell, SG",LAC,73,15.8,68,0.9,53,0.7,2.8,1.28
,"Wesley Iwundu, SF",ORL,62,16.5,57,0.9,30,0.5,2.7,1.90
,"Clint Capela, C",HOU,74,27.5,68,0.9,103,1.4,1.6,0.66
,"Jodie Meeks, SG",WSH,77,14.5,70,0.9,37,0.5,3.0,1.89
,"Ryan Anderson, PF",HOU,66,26.1,60,0.9,42,0.6,1.7,1.43
,"Corey Brewer, SG",LAL/OKC,72,16.8,65,0.9,49,0.7,2.6,1.33
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Luc Mbah a Moute, PF",HOU,61,25.6,55,0.9,68,1.1,1.7,0.81
,"Gorgui Dieng, C",MIN,79,16.9,71,0.9,59,0.7,2.6,1.20
,"Maurice Harkless, SF",POR,59,21.4,53,0.9,40,0.7,2.0,1.33
,"Daniel Theis, PF",BOS,63,14.8,56,0.9,56,0.9,2.9,1.00
225,"Ekpe Udoh, C",UTAH,63,12.9,53,0.8,20,0.3,3.1,2.65
,"DeAndre Liggins, SG",NO/MIL,58,12.5,48,0.8,20,0.3,3.2,2.40
,"Wesley Johnson, SF",LAC,74,20.1,61,0.8,55,0.7,2.0,1.11
,"Serge Ibaka, PF",TOR,76,27.5,62,0.8,90,1.2,1.4,0.69
,"Quincy Acy, SF",BKN,70,19.4,57,0.8,60,0.9,2.0,0.95
,"Bismack Biyombo, C",ORL,82,18.2,66,0.8,84,1.0,2.1,0.79
